Season,DayDate,Date,HomeTeam,Score,HomeGoal,AwayGoal,FTResult,AwayTeam,Over2.5,TotalGoals,BTTS,WinMargin
2023,Th 9 Mar,9/3/2023,A. Niigata (S) ,4 - 0,4,0,H, Lion City,+,4,-,4
2023,Th 9 Mar,9/3/2023,Young Lions ,0 - 3,0,3,A, Tampines Rovers,+,3,-,3
2023,Fr 10 Mar,10/3/2023,DPMM FC ,3 - 4,3,4,A, Khalsa,+,7,+,1
2023,Fr 10 Mar,10/3/2023,Tanjong Pagar ,2 - 0,2,0,H, Geylang,-,2,-,2
2023,Tu 14 Mar,14/3/2023,DPMM FC ,2 - 1,2,1,H, Tanjong Pagar,+,3,+,1
2023,Tu 14 Mar,14/3/2023,Khalsa ,1 - 3,1,3,A, Tampines Rovers,+,4,+,2
2023,We 15 Mar,15/3/2023,A. Niigata (S) ,2 - 0,2,0,H, Hougang,-,2,-,2
2023,We 15 Mar,15/3/2023,Lion City ,3 - 0,3,0,H, Geylang,+,3,-,3
2023,Sa 18 Mar,18/3/2023,Lion City ,3 - 0,3,0,H, Khalsa,+,3,-,3
2023,Sa 18 Mar,18/3/2023,Young Lions ,2 - 1,2,1,H, Hougang,+,3,+,1
2023,Su 19 Mar,19/3/2023,A. Niigata (S) ,0 - 1,0,1,A, Tampines Rovers,-,1,-,1
2023,Su 19 Mar,19/3/2023,DPMM FC ,1 - 3,1,3,A, Geylang,+,4,+,2
2023,Fr 31 Mar,31/3/2023,Hougang ,0 - 3,0,3,A, DPMM FC,+,3,-,3
2023,Fr 31 Mar,31/3/2023,Tampines Rovers ,4 - 3,4,3,H, Lion City,+,7,+,1
2023,Sa 1 Apr,1/4/2023,Tanjong Pagar ,2 - 1,2,1,H, Young Lions,+,3,+,1
2023,Sa 1 Apr,1/4/2023,Geylang ,1 - 6,1,6,A, A. Niigata (S),+,7,+,5
2023,We 5 Apr,5/4/2023,Khalsa ,1 - 6,1,6,A, A. Niigata (S),+,7,+,5
2023,Th 6 Apr,6/4/2023,Hougang ,1 - 2,1,2,A, Tanjong Pagar,+,3,+,1
2023,Sa 8 Apr,8/4/2023,Young Lions ,1 - 3,1,3,A, Khalsa,+,4,+,2
2023,Mo 10 Apr,10/4/2023,Hougang ,0 - 5,0,5,A, Lion City,+,5,-,5
2023,Mo 10 Apr,10/4/2023,Tanjong Pagar ,0 - 2,0,2,A, A. Niigata (S),-,2,-,2
2023,Tu 11 Apr,11/4/2023,Young Lions ,2 - 2,2,2,D, DPMM FC,+,4,+,0
2023,We 12 Apr,12/4/2023,Geylang ,3 - 0,3,0,H, Khalsa,+,3,-,3
2023,Sa 15 Apr,15/4/2023,A. Niigata (S) ,2 - 0,2,0,H, DPMM FC,-,2,-,2
